sentence,sentiment
색만 달라요? 어렸을 때 키웠던 푸들은 키가 좀 컸던 것 같은아서요,m
먹는거에 따라 달라질 수도 있어요,m
네. 아픈 강아지들은 냄새가 나요. 고객님이 보시면 아시겠지면 저희 샵은 깨끗하지 않나요?,m
네. 깨끗해요,m
비숑도 그 정도 돼요. 비숑도 오키로에서 육키로 정도 되고 크게는 칠팔키로까지도 커요,m
그래요? 몰랐네요,m
네,m
긁으면 안좋은거 맞죠?,m
네. 손으로 긁으면 안 좋아요,m
제가 편의점에 숙취 그거 있잖아요?,m
그거 먹었는데도 계속 토하고,m
그래서 이거랑 저기안에 들어있는거를 드시면 쓸개즙 생성에도 도움이 돼가지고 지금 상태에 좋으실거에요,m
이것도 괜찮을 것 같네요,m
칼슘은 마그네슘이랑 같이 드셔야 좋아요,m
앰플타입이예요?,m
그렇구나.. 어차피 식사량은 줄여야 되는거고 근력도 키우려면 콩력이 더 좋겠네요,m
네 그렇죠,m
무통장.. 예 알겠습니다 살펴보구요 연락드릴게요,m
네 알겠습니다 고객님,m
그래요? 대부분 남자분들이 대형견 좋아하고 여자분들이 소형견쪽을 좋아하시거든요,m
아니 너무 이쁘게 짖는데,m
요즘에 그 미용해주는 유튜버가 있으시더라구요,m
예예 많이 있더라구요,m
아이디어가 좋으신거같아요,m
그쵸그쵸,m
그거를 매일 찍어서 귀여운 강아지를 공유하는거고,m
그쵸 공유 하는거죠,m
아무래도 바꿨으니까,m
네 바꿨으니까 걱정되니까,m
그 이제 프리랜서로 일을 하고있어가지고,m
아 그러시구나,m
그전에는 출퇴근을 해서 엄두가 안나는데,m
그쵸 프리랜서면 훨씬 낫죠,m
저희 밑에집에서 강아지들이 하울링을 하더라구요,m
진짜요?,m
아홉시부터 한 세시간 울어요. 화장실 배관타고 엄청크게,m
애기가 드리블이 되게 심한가보다,m
저러다 말겠지 그러는데,m
그렇지는 않아요,m
좋아하시는구나 대부분 여자분들은 시바 안좋아하시거든요,m
지금 요 강아지가 너무 예쁘네요,m
어렸을때 영향이 있으신거 아닌가?,m
아 그런가요 아니 쳐다보는게 너무 예쁜데,m
엄청 활발해요,m
그러면 큰일나는데 저거,m
여기있으니까 시간가는줄 모르겠네,m
그쵸,m
아 그래요?,m
그냥 분양을 하는게 아니라 어디든지 다 계약서를 쓰긴 하세요 서로간의 약속이기때문에,m
집이 여기 아이파크라서요. 남편이랑,m
한번 들리세요 매주 수요일만 빼고 다 영업하니까 일요일두,m
제가 잘 설득해서,m
남편분도 보면 좋아하실거에요 애기들이기도 하고 딱 보면 싫어하실분은 별로 없으세요,m
결정은 거기까지가 힘든거지,m
그쵸그쵸 보면 또 달리질수도 있으세요,m
아마 여기 온다는것 자체가 희망적인거로 생각이 드는데,m
보고 같이또 얘기하시고 그러면 또,m
그럼 이제 노크가 열릴수도,m
그리고 이제 애기들 키우는것도 가족을 키우는것과 다름이 없으니까요 신중히 잘 생각하시고,m
맞아요,m
맞아요 이쁘다고 데려가시면 안돼요. 요즘 애들도 십년은 사니까,m
저도 여기서 서너마리 두고 좋은 개들을 분양 했었어요. 제가 이걸하고 무인펫샵을 체인으로 하고있어서. 지금 개인분양만 하고있어요,m
이 개를 케어하면서 사랑을 주면서 내가 이 가족과도 융합할 수 있으면서 기쁨을 찾으려고 이 아이를 받아야 해요. 제일 중요해요,m
맞아요,m
그게 안된 상태에서는 분양을 차라리 안받는게 나아요. 근데 이제 제가 보기에는 부모님들이 시간도 여유가 있으시고 상황이 너무 좋아요,m
개와 함께 있다는거는 우울증도 없어질 수도 있고. 연세드신분들은 외로워지시니까,m
네 맞아요,m
저희 아버지도 하루에 산책을 두세시간 하시거든요,m
아버지가 개를 좋아하신다면 더 좋은거고,m
네에 저희아버지 마당에 있는 집에 살았을때느 계속 키우셨거든요. 좀 크긴한데,m
개를 좋아하셨네요. 너무좋죠,m
근데 안키운지 십년정도 되었어요. 아파트에 오래 살아서,m
잘 보시고 지나다니시다가 저에게 꼭 분양 안받으셔도 돼요,m
네 하하,m
제가 보면 아니까 그렇게 하셔요,m
네네네 감사합니다,m
예전에 강아지 키울때는 마당에서만 키웠거든요,m
전혀다르고,m
지금 먹고있는게 있는데 변보는것도 힘들어하더라구요,m
아 애기 변비구나,m
잘 안먹을수도 있을거같아가지고 지금 먹는것도 되게 싫어하더라구요 맛을,m
으음 그렇구나,m
제가 먹을때는 맛있는데 애들은 그 맛이 싫은가봐요,m
그럴수 있지,m
그거 하나 먹어야 할 거같아요,m
아 그래요?,m
네 저희 주요 성분중에 엠알텐이라는 성분이,m
으음 그렇구나,m
그래서 저희가 은행잎 추출물이랑 아르지닌까지 같이 넣어 드렸거든요 제품에,m
아 그러셨구나,m
네,m
그쵸,m
좋은 균이 살아서 장까지 들어가야 효과가 있는거에요 국민카드도 돼요 무이자 삼개월 그냥 속는셈치고 우리고 잡수시고 다른곳가서 비교한번 해보세요 차원이 달라요 좋은것을 먼저 잡수신다음에 싼거 잡수세요 확 달라져요 벌써 아버지가 딱 느껴요 제가 이거 하나 팔아가지고 얼마나 남는다고 십육년동안 장사를 하겠어요 제가 아까 장부보여줬잖아 아무데나 펼쳐도 유산균이에요 유산균 유산균삼십포 아버지는 처음에 아침 저녁으로 먹어줘야해요 냄새도안나요 일요일날 토요날은 쉬고 소개시켜주신 분이 어디사시는지 몰라도 신뢰를 하셨기때문에 소개시켜주신거에요 저는 팔려고 안그래요 상담을 하지,m
인기가 많구나,m
여기저기 잘 나가니까 이렇게 쌓아놓고 파는거에요 퍼주는 사람이 없지,m
그쵸,m
회사에서 공짜로 주는거아니에요 내가 다 파는거에요 화장품장사랑 똑같아요 우리는 샘플이 없어요 그냥 정품에도 내가 그냥 잘라서 주는거지 사람들이 먹어봐야 맛을 알지,m
그렇죠,m
네네 정말 좋은 유산균이야 아버지가 그거 잡수셨다니까,m
그래요?,m
네,m
처음들어봐서,m
실리콘도마는 쓰다보면 칼집이 너무 많이 나서,m
네,m
강아지 고려고 왔어요,m
아 강아지 들어와서 보세요. 사장님,m
계속 여기 있으면은 얘네들도 지겨우니까,m
하하 그렇죠,m
되게 순해보이게 생겼다 얼굴,m
네 닥스훈트 되게 순하게 보냈어요,m
아 그렇구나. 얘네들 되게 이쁘게 생겼네?,m
얘네는 가까이서 봐야 얼굴이 보이기 때문에. 털같은 경우는 지저분해 보이죠? 어저께 목욕 시켰는데. 얘네들은 배냇털이라서 지저분해요,m
네일샵 하시다가?,m
네 네일샵 하고있다가 가계 옮기면서 같이 하게 된거구요,m
집이 여기 근처라가지고 강아지 분양샵 찾아보고있는데 네일샵이 나와서 잘못찾아온줄 알았어요,m
강아지 키우는건 그런 매력이죠. 퇴근하고 집에갈때 반겨주고,m
네네 반겨주고,m
그리고 뭐 해달라고 할때 애교부리고,m
네 맞아요,m
그런 재미가 있어서,m
알겠습니다. 생각보다 분양가가 안비싼거같고,m
두개?,m
네 같이 마실거하고요?,m
네 이거란 같이 마실거요?,m
그래요?,m
네,m
약 좀 한번 보러 왔어요,m
네 안녕하세요,m
이거 하나 사면 집안에 두면 긴급 좋겠어요. 긴급으로는,m
그럼요,m
이거 참 괜찮은 연고네요,m
네 맞아요,m
이거 좋은 거네요,m
네 맞습니다,m
이거 하나 사면 그냥 집안에서 편안하게 의약품으로 휴대용으로 좋겠어요,m
네네,m
위가 안 좋은 분한테는 간편히 먹을 수 있어서. 이거 좋겠어요,m
네,m
짠 음식도 그렇고요,m
네 맞아요,m
그리고 가공 인스타드 식품도 그렇죠,m
그럼요,m
음주에도 그렇고요,m
네,m
흡연도 그렇죠,m
네,m
야근 과로에도 그렇고요,m
네,m
스트레스에도 위가 안 좋아지고요,m
네,m
그리고 불규칙한 식생활에서 위가 안 좋아지네요,m
네 맞아요,m
매일매일 하나씩 먹으면 좋겠어요,m
네 좋습니다,m
이거 말고 이거 제가 다이어트 식품 한번 볼게요,m
네,m
이제 믿고 먹어도 되겠네요,m
그럼요,m
그거 말고 제가 또 딴 것도 한번 볼게요,m
네,m
아 이것도 좋은 영양제인 것 같아요,m
네 맞습니다. 믿고 안심하시고 드셔도 돼요,m
이거를 먹으면 편안한 아침을 맞이해 주고 싶은데 이런 거 먹으면 되겠네요,m
네 맞아요,m
이거 말고 제가 딴 거 영양제 딴 것도 한번 볼게요,m
네,m
제가 다시 그리고 다시 오겠습니다,m
네,m
그럼 가족들이랑 조금 더 상의해보고 올께요,m
긴시간 함께하려면 신중히 선택해야 할거 같네요,m
가족처럼 생각하시고 평생을 같이 한다는 생각을 하셔야죠,m
음 그렇군요?,m
네네,m
자 제가 하나 더 해드릴게요,m
네,m
저번에 5일치 드셨어요,m
네,m
5일치가 나왔는데,m
네,m
그래서 저번거 5일 이번꺼 하면 일주일,m
네,m
그럼 지금 직장을 다니시는 거죠?,m
네,m
명단중에 가까운곳으로 가면되겠네요?,m
네 그래요,m
다른게 눈으로도 보이시죠?,m
네,m
그러면 밑에 라인 쓸께요,m
그렇게 하세요,m
아 애가 비숑이에요?,m
네 요즘에 애도 많이 키우시고 좋아하세요,m
그럼 네번 주세요 적은 양으로 나누어서,m
음 그렇구나 그러면 제가 어 내일 전화를 드려서 예약을 할게요,m
아 저희 근데 지금,m
이번 년도 예약이 거의 끝났어요,m
네 주말예약을 하셔도,m
이십육일부터 가능 하시고요,m
이십육일부터 네,m
어 이십육일이면 십이월 이십육일이요?,m
네네,m
아 너무 긴데 아 그렇구나,m
네,m
그러세요?,m
네 그럼 일단 췌장염검사를 키트로 하고 엑스레이도 찍어봅시다,m
네 포메라니안 이에요 처음 키우신다고 하셨죠?,m
스피츠요?,m
네 포메라니언이랑 비슷하게 생겼어요,m
뱅갈고양이요?,m
네 뱅갈고양이요,m
브랜드 인지도 일위요?,m
네,m
아 아쉽네요,m
겨울거 아직 한겨울거는 안들어왔는데,m
네 그래요,m
이정도 쓰시면 될거예요,m
좀 작아 보이네요,m
아니면 급식기는 한짜리 그릇으로 하고 물은 이렇게 서서 먹는 걸 쓰기도 하구요,m
아! 이게 물주는 거예요?,m
네,m
배변판은 요정도 쓰시면 되요,m
네,m
사료는 이걸로 주시면 되요,m
아! 네,m
일주일정도는 더 먹고 지켜봐야지 다 나은게 아니니까,m
그리고 지금 보니까 엑스레이를 그때는 관절만 보느라 몰랐는데,m
네,m
좀있으면 성견되니까 더 좋아질 거에요,m
네 알겠습니다,m
제가 근육이 자꾸 빠지는 것 같아요,m
그래서 단백질을 좀 먹어보려구요,m
그래도 내 건강을 위해서는 챙겨 드셔야 해요,m
그리고 생식기도 원래 오천원 추가인데 이번은 처음이니까 그냥 서비스로 해드릴께요,m
네 감사합니다,m
네 오십견인지 많이 안좋네요,m
구입 할 종류가 여러 개라는 말씀이지요?,m
네,m
그게 제 일인데요,m
봐야 할 물건이 많다고 하셨지요?,m
네 이틀 후에 강아지가 오거든요,m
저도 같이 품목 번호 체크하고 있으니까 나중에 확인해 보시면 되겠지요?,m
네 그러면 좋겠어요,m
꼬똥 듀 툴레아 아기 맞지요?,m
네 두 달 됐대요,m
많이들 잘 모르시죠? 다들 모르실거 같은데,m
네 조금 그렇죠,m
아 강아지용품 보러 오셨군요?,m
배변패드 간식을 사려고 하는데요,m
배편패드와 간식이요,m
그럼 안심하고 드셔도 됩니다,m
그럴까요?,m
네 입혀 보세요,m
사진찍을게요 괜찮으시죠?,m
네,m
이제 치료시작하도록 해도되죠?,m
네,m
아홉 살,m
네,m
호호 제 맘이네요?,m
네 모든엄마가 다 같은 마음이죠,m
제데로 못 주무셨다니 많이 피곤하시겠어요?,m
네 아침에 못 일어나겠어요,m
네 그래서 큰맘 먹고 영양제 한번 먹어볼려고해요,m
그럼 이것도 드셔보세요,m
새끼때부터 키우고 싶은데 추천해주시겠어요?,m
네,m
포메라니언은 어떠신가요?,m
귀엽네요,m
센탈 아시아 아가티카에 좋은가요,m
네,m
이거 하나 사면 그냥 집안에서 편안하게 의약품으로 휴대용으로 좋겠어요,m
네네,m
이거 좋은 거네요 맥주 효모암,m
네,m
더부룩하거나 답답한 속을 풀어주는 데는 가스 활명수가 좋겠어요,m
네,m
가정에서 직장이나 소화제를 두고 그냥 먹는 걸로 좋겠는데요,m
네 쟁여적으로 계시면 언젠가 꼭 필요하시거든요,m
평소에 장이 약하신 분한테 좋겠어요,m
네네,m
늘 책상에 앉아서 활동하시는 분도 좋겠고요,m
네,m
배변 활동이 원활해서 가스 차신 분한테 좋고요,m
네,m
화장실을 자주 가시는 분들한테 좋겠어요,m
네네,m
화장실에 자주 앉아 있는 시간이 긴 분 좋겠고요,m
그럼요,m
배변 활동이 원활하지 않은 사람은 좋겠고요,m
그럼요,m
아래 아랫배가 묵직한 사람들이 좋겠어요,m
그렇죠,m
활동력이 적어 장애 연동량이 부족한 사람들이 좋겠어요,m
네,m
이건 물만 먹어도 살찌는 분한테 좋고 그죠?,m
네네,m
옷이 너무 적어서 다이어트 하시는 분한테 좋고,m
외식이나 회식하는 분한테 좋고,m
체지방이 많은 분한테 이런 데. 좋네요,m
네,m
스트레스 받거나 과로하신 분들 소화 안 되시는 분은 좋겠어요,m
맞아요,m
이것도 소화 안 된 분한테는 엄청 좋을 것 같아요,m
맞아요,m
이거를 먹으면 편안한 아침을 맞이해 주고 싶은데 이런 거 먹으면 되겠네요,m
네 맞아요,m
그럼 그것도 하나 주세요. 개 옷도 사야할까요?,m
요새 추우니까 필요하죠,m
네. 작은 사이즈요. 목줄도 사야할까요?,m
아직 애기니까 나중에 사셔도 될거 같아요,m
네. 또 살게 있을까요?,m
일단 어느정도는 다 된거 같아요,m
직접 보고 추천해드렸으면 하는데요?,m
아 그럼 같이 한번 오겠습니다,m
어떤 것을 먹어야 하나요?,m
성분에 아세트아미노펜 없는 거 드시면 돼요,m
게보린 괜찮나요?,m
네,m
개수 많은 거 있는데 드릴까요?,m
많은 거요,m
먹은 것도 없는 데 윗 배에 가스 찰 때 먹을 만한 게 있나요?,m
자주라고 하니까 생약 성분으로 된거 있는데 그걸로 드릴까요?,m
네 주세요,m
연고 좋은 거 있는데 보여 드릴까요?,m
네,m
아이고 저런 그럼 강아지가 밥을 그렇게 안먹으면 영양분 있는걸 먹여보는게 어때요?,m
그런것도 있나보네요,m
이건 간식은 아니고 애완견용으로 강아지 밥 종류인데 영양분이랑 단백질이 많이든 사료에요 이거 한번 보시겠어요?,m
네 보여주세요,m
그러시면 애완용 그린트리 동백오일샴푸 어떠세요?,m
종류는 어떻게 되나요?,m
또 어떤걸로 설명해 드릴까요?,m
음 애완용 브러쉬도 추천해주시고 설명도 같이 해주세요,m
그러시면 이 빗은 어때요?,m
이건 빗이 특이하네요,m
이렇게 세트랑해서 만이천원에 드릴께요 하나 구매하세요 제가 싸게 드릴께요 어때요?,m
우와,m
비염에 좋은 연고가 새로나왔는데 보여 드릴까요?,m
네 보여주세요,m
이거 어떠세요 녹십자에서 나온 종합비타민인데,m
네 하나주세요,m
지엔씨말고 밀크시슬은 어떠세요?,m
그게 더 좋나요? 그럼 그걸로 주세요,m
다른거 또 추천하실만한거 있으세요?,m
이쪽에 비콤플렉스도 좀 보실래요?,m
약은 어떻게 하나요?,m
먹는약보다는 바르거 쓰시면 됩니다,m
바르는 약은 어떤게 있어요?,m
이런거는 알러지 반응 같은거 가라 앉히는 게 있어요,m
아 그게 더 나아요?,m
예,m
링거보다 지금 상태에서는 이게 더 좋아요,m
아 그래요?,m
"아, 바로 탁센으로?",m
그렇지,m
아 그래요 그러면 일년을 만약 하면 저희가 정지 네번 되는데 그 최대 네번까지 가능해요. 일단은 리모델링 하는동안 여기서 일개월 하고 그리고 나머지 정지 정지시켜놨다가 거기 끝나고 여기오면 나쁘지 않잔아요,m
음 그러믄 강아지도 종류가 많자나요? 어떤종류 강아지가 좀 저같이 초보자 잘 못하는 사람한테 적응하고 살수 있을까요?,m
"일단은..뭐 순한 강아지들이 따지시면 여러가지 있는데 순한 강아지들이 대체적으로 몸집이 큰강아지들이 많아요 리트리버 라든가 이런종류가 순하고 ,그런게 아니게  푸들종류",m
"그래서 제가 알아본 다음에 결정을 해야되는데 너무 모르니깐 그리고 제가 강아지를 그닥 좋아하지도 않고 순전히  딸아이 때문에 생각을 하게 된건데, 아 고민이 많네요. 혹시 좀 권장 할만한 방법이나 아니면 강아지종류나 있을까요? 초보자용",m
"일단 키우기 쉬운건, 푸들 시츄 요정도가 크기도 그렇고  아파트에 사시니깐 푸들도 큰것도 미니어쳐,토이푸들 작은종류로 하시면 부담은 좀 덜 하죠. 털도 덜 빠지고 뭐 귀엽다고해서 치와와 이런거하면 털이 많이 빠지거나 그렇수있는데 푸들은 털이 덜빠지고 좀 편하실 쉬 있죠. 개도 착하고 순하고 애정도 많고 애교도 잘 부리고",m
건강보조식품 관련해서 영양제 종류 어떤 게 괜찮은지 좀 추천받고 싶은데 가능할까요,m
잠시만요,m
제품들이 되게 많거든요 직접 오셔서 상담받는게 제일 좋아요 제품보시면서 성분이나 그런것들 수치도 보시는게 제일 좋아요,m
"그죠. 더 좋은건 뭐냐면 한약으로 된 팩이 있어요 제가 만든건데, 그것도 한 번 드려 볼까요?",m
네네 같이 주세요,m
혹시 칫솔은 어떤 걸로 써야 돼요?,m
저희 원장님은 좀 뻣뻣한 걸로 쓰는 걸 권유하세요,m
크기는요? 큰 것도 있고 작은 것도 있던데,m
그건 상관없는데 깊숙이 좁은데 청소하려면 작은 게 좋겠죠. 치실도 자주 하시고요,m
푸들이 온순한 편이라고  해서,m
생각했는데 혹시 또 추천해주실 품종이 또 있을까요,m
강아지는 삼십 마리 정도 있으니까,m
일단은 상담을 한번 받으셔,m
어 오셔서 상담을 한번 받으시면은,m
아무래도 좀 더 낫죠,m
아가씨 성향이라든가 성격 이런 것두 좀 봐야지 주거 형태라든지 이런 것도,m
추천해 주실만한 강아지가 있나요?,m
시츄나 말티즈요,m
어 처음이다 보니까 좀 키우게 그래도 쉬운 종이 있나요,m
푸들 말티즈 요즘에 말티푸도 있고,m
요즘에 조금만 검색해보시면 다 ooo에 자세하게 있쟎아요,m
좀 이제 공부 해보시고 그 다음에 이제 알아 보시는 게 더 나을거에요,m
아 그래요,m
상세하게 자세한 견종을 다 설명을 드릴 수는 없쟎아요 시간도 그렇고,m
먼저 공부해보시고 그다음에 알아보시는 게 더 나을 거에요,m
되게 소형견으로 제가 말한 아이들이 다 그런 아이들이에요,m
요크셔테리어 마티즈 푸들 말티푸 요렇게,m
고지혈증에 좋은 약 있나요?,m
일단 처방을 받아오셔야해요,m
혈액순환제 추천하실만 한 게 있나요?,m
네 보여드릴께요,m
"그래도 몇 가지 약을.. 이제 뭐 남들 다 먹는 거 유산균, 빼에 좋은거 요정도는 먹는데",m
하루에 한 번 먹는 게 아니고 아까 아침 저녁으로,m
또 잘 먹으면은 벗어 삼일부터 달라져요  고생할 필요 없잖아요,m
그분은 그렇게 먹으면 몸이 더 좋아져서 나중에 돈 들을 일도 없어요,m
"이거 한알, 요건 다섯알 아침저녁",m
그럼 저는 소화제를 먹어야겠네요,m
소화제 정도는 상비약으로 구비해 놔야죠,m
혹시 나이트 크림 말고 데이로 그냥 쓸수 있는거 있을까요?,m
"있는데 정확한 사용법은 저녁에만 쓰시는거니까, 낮잠 주무실때  쓰셔도 되는데 기능에따라 나이트에",m
제가 샘플로 챙겨 드릴거니 써보세요,m
사료를 바꿔보면 어때요?,m
네 노견에 맞는 사료 먹어야해요,m
간식처럼 두고 먹을 수 있는 것도 있나요?,m
호박즙이 좋습니다,m
더 추천해 주실 것이 있나요?,m
칡즙이 좋습니다,m
젤리타입도 있나요?,m
네 식이섬유가 많이 들어서 장건강에도 좋아요,m
많이 몰라서 그러는데 제가 야옹이 분양을 하는데 미리 야옹이 오기전에 구매를 해놓으려 하거든요.뭐뭐 구매해야 되는지 좀 알수 있을까요?,m
일단 기본적으로 사료랑 화장실이랑 캣폴 정도는 구비해주면 좋구요 사료도 종류가 많아 가지고 혹시 선호하시는 사료가 있을까요?,m
제가 분양을 하려고 하는게 털이 긴 장모족이거든요 그아이가 뭘좋아하는지 몰라서 하나 추천해 주시겠어요?,m
그럴때면 갑자기 사료을 바꾸면 안되니까요 분양하시샵에서 기존 먹이던 사료가 무엇인지 물어 보고 사료샘플을 챙기셔서 한동안 먹이시다 찾아보시다가 사료을 점점점 바꿔주시는걸 추천 드려요,m
아 일단은샵에서 먹던걸 먹이되 좋은걸로 점차 바꿔주시라는 말씀이죠?,m
그럼 대형 야옹이들한테 추천해 주시는 사료는 뭐가 있어요?,m
아무래도 고양이는 육식성이기때문에 어느정도 고단백 사료가 좋구요 헤일로 제품 괜찮은 편이에요,m
그러면 제가 데리고 올 아이가 대형에 속하는 편인데 몇킬로 사가면되요?,m
이게 사료가 고양이 취향을 많이 타다보니까요 첨부터 대용량을 하면 부담스러울수가 있으니까 소포장을 사서 잘먹는지 지켜본다음에 큰용량으로 사시는게 좋습니다,m
그러면 제가 뜯어서 락앤락 통에넣으려 하는데 그게 낫나요 포대채 하는게 낫나요?,m
요즘엔 사료도 지퍼식으로 나오는거도 있어요 제가 추천하는 헤일로도 그런방식이거든요 소포장일때 굳이 다른 용기에 옮길 필요는 없을거 같고 대용량일때 락앤락이나 비닐에 소분하시는게 좋을거 같아요,m
싱크대 밑이나 햇빛 안들어 오는곳에 보관하면 좋겠네요. 서늘한곳에 그리고 또 먹이랑 화장실 준비해야 된다는데 화장실은 뭘로 준비해야 되요,m
"화장실도 종류가 좀 여러가지인데요 그냥 평판형도 있고요 하우스형도 있구요, 아니면 좀 이층식으로 된 업무 화장실도 있는데요. 키우면 모래를 튀게 하니까 하우스형이나 이층형을 많이 선호하세요",m
일단 어떤걸 사야되요?,m
제일좋은거는 먼지도없고 응고도 잘되고,m
뭐라구요?,m
응고요 쉬살때  응고력도 좋으면서 좀 탈취효과가 있는게 좋은데하나씩 부족하더라구요,m
아 섞어서요? 그러면 저는 천식이 있어서요 먼지 안나는 제품과 비염도 있으니까 탈취가 잘되느 모래하나 골라주실래요?,m
먼지가 적은 제품은 더스트몬 제푸믈 추천을 드리구요  탈취가 좋은 제품으로는 오도락꺼를  추천해 드릴께요. 반반비율로 섞어서 쓰시면 좋을거 같아요,m
모래 샀지 화장실 샀지 먹이 샀지  또 뭐사야죠?,m
캣타워를 준비해주시는게 좋아요 .고양이는 수직 동물이기때문에 넓은공간보다는 위아래로 오르락 내리락 공간이 잇는걸 선호하거든요 애기가 아직 어리다면 중형으로 높이백센티 정도 높이로 시작했다가 좀더 높은거로 바꿔 주시는게 좋아요.첨부터 너무 높은거로 하면 낙상사고가 일어날수 있으니까,m
혹시 여자들한테 좋은 영양제 같은 건 없었어?,m
피로하고 한다는 건 사실 남녀 구별 차이 없고 피로를 도와주는 게 이제 비타민 비군을 많이 되시고요 아까 여성의 그랬으면 확신한 제 생리 전후에서 불편한 게 있으면 철분제 쪽으로도 생각을 해 볼 수는 있겠죠?,m
그리고 제가 간식 몇개 사고싶은데 좋은게 뭐가 있을까요,m
요즘은 간식이 여러가지가 있는데 애들 고구마나 말린것도 있구요,m
요즘에 명태포도 갈아서 굳혀서 나오는것도 있다고 하던데,m
생선류 명태나 이런거 말려서 한것도 있고,m
연어도 많이 먹지요?,m
연어도 많이 먹죠,m
그럼 제가 추천좀 해드릴까요?,m
네,m
좀 더 저렴한건 없나요?,m
조금 더 저렴한건 화애락큐도 있는데 그 제품은 하루 두번 섭취해야 하는거라 잘 안챙기면 빼먹기 쉽죠,m
저희 정관장 제품이 홍삼만 있는거 아닌거 아시죠?,m
저 몰랐어요,m
홍삼 말고도 건강기능식품도 다 있고 먹거리도 있고 화장품도 있답니다,m
첨 들어봤네요,m
네 그러면 이거 솜으로 된 패딩도 있어요,m
좀 저렴한게 있어든요,m
잘 먹고 호전되는게 있으면 그때 한번 먹여보세요,m
아무래도 카페트를 깔면 좋은데,m
아니 카페트 깔아 놨어요 애가 잘 돌아다니고,m
어떤게 좋은가요 종합비타민요?,m
좋은 거 많죠?,m
가격도 저렴하면서 효과도 좋은 거요,m
이 회사 거 좋죠,m
인지도가 좋은가요,m
네 잘 나갑니다,m
다른 비타민제 추천할 거 없어요.?,m
삐콤씨 알죠,m
네,m
저 여성종합비타민 살래요?,m
아 그래요 그러면 아이가 키우기 좋을 만한 종이 어떤게 있을까요,m
네 보통 말티즈 많이 키우시잖아요,m
손목 위한 효과적인 보호대 좀 있을까요,m
여기 여러 가지 있으니까 한번 보세요,m
제일 잘 나가는게 어떤 거죠?,m
어디가 아프신데요,m
손목이 손가락 쪽이 아파요,m
이게 장갑형 있고요,m
네,m
테이프형 있습니다,m
운동 운동 시에 손목 보호가 필요한 사람한테 더 적합한가요?,m
다 가능합니다,m
가사일로 필요한 사람한테도 적합한가요?,m
네,m
무거운 물건을 사람한테도 적합한가요,m
네 그렇죠,m
컴퓨터나 스마트폰 통증도 적합한가요,m
네 맞습니다,m
손목 엘보가 좀 있거든요 어떤 밴드가 좋을까요?,m
팔꿈치 가요,m
팔꿈치엘보입니다,m
네 보세요. 아대형으로 된게 있습니다,m
아대 형 팔꿈치 보호대요?,m
발목이 아니고요 팔꿈치입니다,m
어떤게 제일 잘 나가죠?,m
약간 압박감이 있으면서 부드러운 걸로 많이 찾으십니다,m
압축이 심한 거는 혈액이 잘 안 통하고요,m
네. 그러면 이게 좋을 거 같네요 네. 이거 국내에서 만들고 새로 나온 겁니다,m
손목 보호대 이거 잘 나가는 거 맞아요,m
네,m
기본적으로는 드셨던 것 처럼 쉐이크랑 단백질이랑 아마 들어가게 될거에요,m
거기에 식이섬유도 같이,m
들어갈거구요,m
네,m
그렇게 해서 먹어본 다음에 그 다음에 이제 그렇게 시작하는 거는 그렇게 시작하는게 나을 것 같다라고 생각 하는데,m
그정도는 예상하고 있기는 한데,m
네 최대한 몸 보고 최대한 저렴하게 해서,m
본인 몸에 맞게 먹을 수 있게끔,m
하는게 제일 좋을 것 같아요 너무 막 처음부터 막 돈을 막 들이는 것 보다 몸을 보고,m
네 조금씩 조금씩 몸에 맞춰가는게 좋을 것 같다라고 생각은 드는데 일단 봐야 알 것 같습니다,m
네 일단 제가요,m
밝은 실버면 실버랑 블랙이랑 키우시는 분들도 많이 계시거든요,m
블랙은 제가 별로라서 블랙만 빼고는 다 괜찮을 것 같아요,m
블랙 빼고 아니면 그 아이랑 체구가 맞는 아이를 원하시면 저희 내일 견사 들어가거든요,m
아 네,m
지금 어린아이를 데려가면 딱 좋아요,m
터울이 나이터울은 지금 이정도 이삼년이 좋거든요 좀 많이 나는게 그게 제일 좋고,m
솔직히 말하면 암수로 키우시는게 제일 좋아요,m
아 그렇구나 그럼 조금 흔한거는 뭐가 있어요 푸들 말고,m
말티즈나 말티푸나 소형견 애들은 정말로 흔하게 보실 수 있는데,m
그런데 저는 잘 모르겠네요 혹시  많이 나가는게 어떤건가요?,m
여기 oooo 것이 잘 나가요,m
위생적이겠네요,m
그렇죠 ooo 것도 잘나가는데,m
ooo 꺼요~,m
"네 이건 관절건강에 도움이 되는 사료인데 3,4Kg에 이만 팔천원이에요",m
아 이건 관절건강에도 도움을 주는 사료네요,m
네 그리고 이건 ooo에서 나오는 사료인데 미국에서 사랑받는 사료예요,m
너무 종류가 많으니까 고르기가 쉽지를 않네요,m
그럼 ooo걸로 가져가 보세요  관절건강까지 신경써서 만든 사료이니,m
아 그럴까요?  그럼 ooo걸로 주세요 참 강아지가 배설하고 닦아주는 전용 물휴지도 있나요?,m
그럼요,m
그럼 그것 좀 보여주세요,m
네 이쪽으로 오세요  이거 30매에 천원이에요,m
어머 사람것보다 비싸네요,m
그러네요  요새 코로나 때문에 강아지 탈취제도 많이 나가는데 하나 보여드릴까요?,m
네 보여주세요,m
이거 ooooo사껀데 500미리에 만원이에요 유해한 성분이 전혀 없어요,m
